State,District,Year,Arhar/Tur,Unnamed: 4,Unnamed: 5,Bajra,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Cotton(lint),Unnamed: 13,Unnamed: 14,Gram,Unnamed: 16,Unnamed: 17,Groundnut,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Jowar,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Linseed,Unnamed: 34,Unnamed: 35,Maize,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Moong(Green Gram),Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Niger seed,Unnamed: 52,Unnamed: 53,Other Rabi pulses,Unnamed: 55,Unnamed: 56,Other Cereals,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Other Kharif pulses,Unnamed: 67,Unnamed: 68,other oilseeds,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Other Summer Pulses,Unnamed: 79,Unnamed: 80,Ragi,Unnamed: 82,Unnamed: 83,Rapeseed &Mustard,Unnamed: 85,Unnamed: 86,Rice,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Sesamum,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Soyabean,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Sugarcane,Unnamed: 109,Unnamed: 110,Sunflower,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Urad,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Wheat,Unnamed: 127,Unnamed: 128,Safflower,Unnamed: 130,Unnamed: 131,Tobacco,Unnamed: 133,Unnamed: 134
,,,Kharif,,,Kharif,,,Summer,,,Kharif,,,Rabi,,,Kharif,,,Summer,,,Kharif,,,Rabi,,,Summer,,,Rabi,,,Kharif,,,Rabi,,,Summer,,,Kharif,,,Summer,,,Kharif,,,Rabi,,,Kharif,,,Rabi,,,Summer,,,Kharif,,,Kharif,,,Rabi,,,Summer,,,Summer,,,Kharif,,,Rabi,,,Kharif,,,Summer,,,Kharif,,,Rabi,,,Summer,,,Kharif,,,Summer,,,Whole Year,,,Kharif,,,Rabi,,,Summer,,,Kharif,,,Summer,,,Rabi,,,Rabi,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Maharashtra,1. Ahmednagar,2019 - 2020,19747,9948,0.5,146822,127713,0.87,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),159250,146932,0.92,97038,82529,0.85,11935,6991,0.59,365,593,1.62,1541,430,0.28,362789,188248,0.52,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),22,5,0.23,35708,12252,0.34,38954,114492,2.94,2087,5635,2.7,65835,10538,0.16,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),683,102,0.15,1150,350,0.3,299,65,0.22,64,8,0.13,1632,2579,1.58,10338,1257,0.12,103,21,0.2,47,3,0.06,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),569,535,0.94,142,164,1.15,47,3,0.06,17331,19469,1.12,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),204,26,0.13,384,85,0.22,6,2,0.33,70951,40505,0.57,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),70931,5103317,71.95,399,504,1.26,26,8,0.31,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),26215,5693,0.22,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),67727,142189,2.1,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Maharashtra,1. Ahmednagar,2020 - 2021,20664.59,15667.3,0.76,150957.97,229822.23,1.52,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),172800,399500,2.31,107760,92042.58,0.85,13496.5,11272.68,0.84,487.07,684.98,1.41,1080.76,667.26,0.62,336386.53,196522.75,0.58,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),46.42,27.85,0.6,43241.51,144642.87,3.35,44709.39,122023.24,2.73,2397.58,3164.81,1.32,67191.94,41004.02,0.61,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),766.43,325.66,0.42,2405,1560.85,0.65,252,54.68,0.22,22,2.77,0.13,1586,1376.01,0.87,9593,5736.61,0.6,91,18.93,0.21,19,1.03,0.05,8,3.49,0.44,861,444.28,0.52,130.01,102.24,0.79,47,3,0.06,17595.34,33172.49,1.89,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),236.08,70.05,0.3,217.71,48.27,0.22,135,25.38,0.19,84480.32,141300.37,1.67,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),109977,11945130.44,108.61,322.15,405.74,1.26,80.59,31.46,0.39,22,6.45,0.29,27967.61,27932.8,1,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),73932.09,150813.18,2.04,59,13.59,0.23,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Maharashtra,1. Ahmednagar,2021 - 2022,22874.75,18530.84,0.81,147501.9,151916.36,1.03,2016,1834.56,0.91,162600,277400,1.71,114238.91,112409.95,0.98,15363.13,13395.11,0.87,415.99,592.56,1.42,921.41,1040.33,1.13,324627.56,221379.77,0.68,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),52.02,49.03,0.94,46278.98,147412.44,3.19,45432.92,120165.53,2.64,3048.14,4023.55,1.32,69620.98,42037.15,0.6,509,93.75,0.18,794.51,135.94,0.17,289,83.84,0.29,389,87.91,0.23,55,12.76,0.23,26,28.3,1.09,9403,1006.12,0.11,91,18.93,0.21,248,96.13,0.39,8,3.49,0.44,398,225.87,0.57,150.76,178.25,1.18,47,3,0.06,19551.47,37007.02,1.89,10,31.13,3.11,135.56,25.88,0.19,158.49,113.24,0.71,48,9.02,0.19,99300.03,157052.93,1.58,3195,4792.5,1.5,207805,20676012.67,99.5,265.04,178.24,0.67,87.92,115.94,1.32,11.78,9.27,0.79,30875.67,15564.42,0.5,8,4.31,0.54,67845.25,152820.07,2.25,62.67,41.27,0.66,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Maharashtra,1. Ahmednagar,2022 - 2023,23881,22018,0.92,110862,136744,1.23,5129.3,4667.66,0.91,131229.17,255061.86,1.94,113139.7,112159.91,0.99,5255.6,5503.14,1.05,5824,7451,1.28,426.97,243.89,0.57,142520.05,118049.36,0.83,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),39.11,14.76,0.38,49098,97824,1.99,46177.56,108212.49,2.34,5791.47,11032.75,1.9,49101.39,39374.41,0.8,95,17.5,0.18,84.22,38.41,0.46,3630.6,1262.32,0.35,159,34.15,0.21,75,17.02,0.23,15.8,19.46,1.23,10337,5684,0.55,117,81.9,0.7,37.8,6.37,0.17,29,11.54,0.4,42.8,30.7,0.72,190,181,0.95,47,3,0.06,20579.65,34228.07,1.66,10,31.13,3.11,111.06,37.91,0.34,19.45,6.52,0.34,39,10,0.26,110629,200692,1.81,1475,2212.5,1.5,160000,17600000,110,62,37,0.6,35.17,21.24,0.6,27,23,0.85,30794.15,31345.37,1.02,12.6,6.79,0.54,85790.86,191159.19,2.23,74,33.18,0.45,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Maharashtra,2. Akola,2019 - 2020,50907,115501,2.27,78,18,0.23,5129.3,4667.66,0.91,154440,380667,2.46,78542,98591,1.26,108,73,0.68,2117,5851,2.76,9512,7759,0.82,1830,1445,0.79,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),39.11,14.76,0.38,146,316,2.16,126,157,1.25,5791.47,11032.75,1.9,19284,7672,0.4,95,17.5,0.18,20,3,0.15,3630.6,1262.32,0.35,159,34.15,0.21,75,17.02,0.23,15.8,19.46,1.23,10337,5684,0.55,117,81.9,0.7,37.8,6.37,0.17,29,11.54,0.4,169,32,0.19,190,181,0.95,47,3,0.06,20579.65,34228.07,1.66,10,31.13,3.11,1339,44,0.03,19.45,6.52,0.34,63,13,0.21,209650,190226,0.91,1475,2212.5,1.5,27,1728,64,38,16,0.42,35.17,21.24,0.6,27,23,0.85,13972,4976,0.36,12.6,6.79,0.54,24015,31025,1.29,25,9,0.36,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Maharashtra,2. Akola,2020 - 2021,54116.38,50377.98,0.93,77.78,36.72,0.47,5129.3,4667.66,0.91,159100,335500,2.11,84270.88,97007.73,1.15,79.66,72.43,0.91,3504.7,4307.13,1.23,6973,5376.39,0.77,3025.54,3351.85,1.11,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),39.11,14.76,0.38,296.85,1013.85,3.42,372.82,480.91,1.29,5791.47,11032.75,1.9,20298.09,1234.5,0.06,95,17.5,0.18,20,3,0.15,3630.6,1262.32,0.35,159,34.15,0.21,75,17.02,0.23,111,20.93,0.19,10337,5684,0.55,117,81.9,0.7,32,27.59,0.86,100,12.92,0.13,135,25.51,0.19,190,181,0.95,47,3,0.06,20579.65,34228.07,1.66,10,31.13,3.11,1505.87,298.76,0.2,19.45,6.52,0.34,63,13,0.21,216566.29,265587.88,1.23,1475,2212.5,1.5,27,1728,64,2,0.82,0.41,35.17,21.24,0.6,27,23,0.85,14845.39,3159.73,0.21,12.6,6.79,0.54,27863.42,39939.7,1.43,11,7.61,0.69,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Maharashtra,2. Akola,2021 - 2022,57839.22,158086.14,2.73,5.24,1.89,0.36,5129.3,4667.66,0.91,153000,305600,2,99878.4,125929.68,1.26,1.44,1.83,1.26,3813.23,5542.59,1.45,5175.29,1429.42,0.28,2751.65,2368.59,0.86,139.8,116.23,0.83,39.11,14.76,0.38,248.97,734.83,2.95,497.52,1082.85,2.18,788,1339.6,1.7,19803.54,2913.1,0.15,639.3,117.75,0.18,20,3,0.15,3630.6,1262.32,0.35,159,34.15,0.21,75,17.02,0.23,111,20.93,0.19,10337,5684,0.55,117,81.9,0.7,32,27.59,0.86,100,12.92,0.13,135,25.51,0.19,190,181,0.95,47,3,0.06,20579.65,34228.07,1.66,88,261.39,2.97,1523.26,69.31,0.05,27,19.29,0.71,179.4,38.03,0.21,235636.19,256678.5,1.09,417.8,208.9,0.5,27,1728,64,2,0.82,0.41,35.17,21.24,0.6,27,23,0.85,16639.49,1577.42,0.09,12.6,6.79,0.54,30006.49,50269.87,1.68,144,78.38,0.54,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Maharashtra,2. Akola,2022 - 2023,55836,42268,0.76,1419,510,0.36,5129.3,4667.66,0.91,149868.87,362488.72,2.42,120523.35,134040.04,1.11,1.44,1.83,1.26,4437,7143,1.61,2243.27,1219.89,0.54,969.27,1193.1,1.23,893.12,742.56,0.83,39.11,14.76,0.38,141,420,2.98,487.02,962.81,1.98,315.2,525.33,1.67,10289.52,2706.14,0.26,335.1,61.72,0.18,20,3,0.15,3630.6,1262.32,0.35,159,34.15,0.21,75,17.02,0.23,111,20.93,0.19,10337,5684,0.55,117,81.9,0.7,32,27.59,0.86,100,12.92,0.13,135,25.51,0.19,190,181,0.95,47,3,0.06,20579.65,34228.07,1.66,88,261.39,2.97,65.34,14.55,0.22,41.6,13.94,0.34,378,80,0.21,242717,387667,1.6,38.4,23.04,0.6,150,8307,55.38,2,0.82,0.41,35.17,21.24,0.6,27,23,0.85,11890.61,3678.96,0.31,12.6,6.79,0.54,32482.56,56821.74,1.75,96.9,42.4,0.44,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
